CODIGO_FILIAL;TICKET;DATA_VENDA;ITEM;TERMINAL;LANCAMENTO_CAIXA;NUMERO_CUPOM_FISCAL;PERIODO_FECHAMENTO;VENDEDOR;VENDEDOR_APELIDO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;TIPO_PRODUTO;TABELA_MEDIDAS;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;COLECAO;GRADE;LINHA;GRIFFE;CARTELA;REFER_FABRICANTE;MODELAGEM;FABRICANTE;ESTILISTA;MODELISTA;TAM;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO
4047;9722;10/09/2025;7;1;109P00B;8492;1;4918;MARLUCE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;92,95;0;105;9295;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;10968;27/11/2025;2;1;27BP020;9481;1;3443;GERENTE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;28,2;0;0;2820;0;2820;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;10518;31/10/2025;1;1;31AP00D;9142;1;4918;MARLUCE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;2;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;11063;01/12/2025;7;1;01CP007;9561;1;4918;MARLUCE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;2;1;1;0;28,2;0;0;2820;0;2820;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6858;12/02/2025;1;1;122P00B;5958;1;4120;ANA JULIA                ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8570;26/06/2025;2;1;266P00D;7464;1;3552;SAMIA                    ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;2;1;1;0;47;0;0;47;0;47;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7088;28/02/2025;1;1;282P00D;6160;1;4120;ANA JULIA                ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7094;28/02/2025;2;1;282P013;6166;1;3443;GERENTE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;0;0;94;0;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6682;29/01/2025;12;1;291P00A;5800;1;3443;GERENTE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;2;1;1;0;0;0;94;0;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8197;05/06/2025;1;1;056P005;7123;1;4741;ANA LÚCIA                ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;2;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
